target_id	Mutu_siCNOT1-Cntl1_cntl1	Mutu_siCNOT1-Cntl2_cntl2	Mutu_siCNOT1-Cntl3_cntl3	Mutu_siCNOT1-Zta1_test1	Mutu_siCNOT1-Zta2_test2	Mutu_siCNOT1-Zta3_test3	gene	b	qval
BDLF1_1	0.0	0.0	0.0	5585.93	4157.28	5670.98	BDLF1_1	5.46407422943094	0.0
BcLF1_1	0.0	0.0	0.0	3683.68	3898.23	5298.24	BcLF1_1	5.68813956468135	0.0
BXLF1_1	0.0	0.0	0.0	2622.5	2312.91	2582.47	BXLF1_1	5.12377398269004	0.0
BNRF1_1	0.0	0.0	0.0	2593.04	2299.26	2810.02	BNRF1_1	5.12589709907343	0.0
BFRF1A_1	0.266998	0.0	0.0	3570.43	3470.65	3963.64	BFRF1A_1	4.97725371107192	0.0
BFRF1_1	0.0	0.0	0.0	4556.87	4841.03	5288.32	BFRF1_1	5.49900360528034	0.0
BORF1_1	0.0	0.0	0.0	3486.99	3181.16	4459.99	BORF1_1	5.41108938683122	0.0
BMRF1_1	0.0	0.0	0.0	11297.6	13700.3	11446.2	BMRF1_1	6.04712995596261	0.0
BZLF2_1	0.0	0.0	0.0	2360.13	2445.19	2979.05	BZLF2_1	4.67488665028324	0.0
BdRF1_1	0.0	0.0	0.0	8733.53	6645.42	10568.0	BdRF1_1	4.82316613823172	3.10675111248451e-302
BLLF1_1	0.0	0.0	0.0	3023.42	3793.62	4679.63	BLLF1_1	5.00907128486762	5.978430221778389e-288
BORF2_1	0.0	0.0	0.0	4565.4	5966.57	3280.3	BORF2_1	5.21963419668439	1.37583525152912e-192
BaRF1_1	0.0	0.0	0.0	1872.27	2172.3	2006.37	BaRF1_1	4.67038350768137	8.97192277613759e-149
BKRF3_1	0.0	0.0	0.0	6189.27	7775.16	9181.92	BKRF3_1	5.18599189065782	6.62235496820549e-131
BBLF2/BBLF3_1	0.0	0.0	0.0	2308.85	2576.29	3308.91	BBLF2/BBLF3_1	4.51524249323902	1.5856877855069299e-124
BZLF1_1	0.0	0.0	0.0	7019.73	7634.4	11243.3	BZLF1_1	4.51323882539511	1.13334938579789e-121
BGLF5_1	0.0	0.0	0.0	3682.22	3764.26	2606.5	BGLF5_1	4.38971048130144	9.068061425536e-94
BSLF2/BMLF1_1	0.0	0.0	0.0	2598.88	3671.18	4211.45	BSLF2/BMLF1_1	4.29070693479725	3.2798664583237e-84
BHLF1_1	0.0	46.1665	0.0	24471.1	32778.9	38712.6	BHLF1_1	6.76329843892318	1.74745942163136e-79
BHRF1_latent_splice_variant_1	0.0	0.0	0.0	2870.2	5694.78	4149.9	BHRF1_latent_splice_variant_1	4.33743983512915	1.06104615696659e-78
BALF2_1	0.0	29.3546	0.0	7244.53	6786.85	6193.92	BALF2_1	5.67288761754423	6.780678354666941e-67
BSLF1_1	0.0	0.0	0.0	993.624	949.849	993.732	BSLF1_1	4.16926521080706	4.13292066779598e-64
BBRF3_1	0.0	0.0	0.0	2336.73	3035.73	2858.86	BBRF3_1	3.96354294769846	1.95793206901065e-49
BLLF1-splice_variant_1	0.0	0.0	0.0	4185.36	3242.41	1837.92	BLLF1-splice_variant_1	4.55491349608221	2.90069595707257e-49
BGLF2_1	0.0	0.0	0.0	3164.02	2377.54	3153.16	BGLF2_1	4.07145296708155	1.65558494198107e-48
BALF5_1	0.0	0.0	22.446	2574.19	3015.62	2269.43	BALF5_1	4.98538042965044	4.81224019097161e-48
BRRF2_1	0.0	0.0	0.0	1946.42	2008.83	1580.07	BRRF2_1	3.80142003008841	1.08972245931612e-45
BFLF1_1	0.0	0.0	0.0	1037.52	1436.34	1313.99	BFLF1_1	3.9060994105123	2.61598237850121e-43
BRLF1_1	0.0	0.0	0.0	560.934	973.674	1167.33	BRLF1_1	3.664968570457	2.1370232486734e-36
BFRF3_1	0.0	0.0	0.0	8781.8	6383.47	4063.7	BFRF3_1	3.93077274436251	3.52925520480893e-35
BFLF2_1	0.0	0.0	0.0	2377.77	2257.31	3825.23	BFLF2_1	3.77580793885884	4.99972723710699e-35
BLRF1_1	0.0	0.0	0.0	3024.84	3695.75	4066.05	BLRF1_1	3.70223656240435	6.326622856549441e-35
BALF4_1	0.0	43.5662	0.0	2399.38	2038.59	3059.98	BALF4_1	4.28420249841552	6.451199493985071e-35
LF3_1	0.0	0.0	36.1107	4809.13	11228.7	13478.6	LF3_1	5.74952005462045	2.78506036827959e-34
BPLF1_1	0.0	0.0	0.0	307.784	332.513	290.016	BPLF1_1	3.939619055219	3.92956707181217e-33
BVRF2_1	0.0	59.8856	0.0	1183.83	1931.53	1902.93	BVRF2_1	3.56857640156379	1.12261097969718e-21
LMP-1_1	0.0	0.0	0.0	730.788	953.698	940.294	LMP-1_1	3.47423245556777	1.9513316154338e-20
BKRF4_1	0.0	0.0	0.0	5443.05	5490.23	6590.13	BKRF4_1	3.81264505248507	5.6041905912722e-18
BBLF4_1	0.0	0.0	45.2196	628.509	806.087	1159.23	BBLF4_1	3.18043481809796	9.40479393044719e-17
BBRF1_1	0.0	0.0	0.0	1246.13	845.815	303.014	BBRF1_1	3.44859607067832	9.9232894934552e-17
BKRF2_1	0.0	0.0	0.0	4457.92	1212.26	2985.77	BKRF2_1	4.25004902426372	1.6435111749161602e-15
BXLF2_1	0.0	0.0	0.0	1837.73	846.151	2377.2	BXLF2_1	4.02910257235015	5.858469945384081e-15
Cp-EBNA3A_1	0.0	0.0	0.0	261.486	473.489	409.383	Cp-EBNA3A_1	3.37186023606168	1.65906959284379e-13
BNLF2a_1	0.0	0.0	308.884	7295.21	6012.9	3447.18	BNLF2a_1	3.14348707054925	5.08360666045639e-13
BXRF1_1	0.0	0.0	0.0	679.524	860.36	789.597	BXRF1_1	3.43841997785658	2.5099679544139e-12
BILF2_1	386.957	0.0	0.0	5798.11	7002.16	8574.63	BILF2_1	3.70692999800861	1.14588232621911e-11
DQ459429	878.797	1095.02	1564.14	3174.97	4249.77	4975.59	DQ459429	1.26103315490519	1.37872159078488e-07
BDLF3.5_1	0.0	0.0	0.0	533.105	1081.74	1306.09	BDLF3.5_1	4.01687741526182	2.59854444596683e-06
LF1_1	0.0	0.0	0.0	622.974	1453.72	547.557	LF1_1	3.52916875894231	3.82896416549996e-06
BALF3_1	0.0	0.0	0.0	339.961	220.945	450.664	BALF3_1	3.21619159814062	1.36291121640346e-05
EF011072	2125.36	2576.41	1909.77	5916.38	5011.55	5598.83	EF011072	0.941070816247463	1.44871066491084e-05
BDLF2_1	0.0	0.0	0.0	628.166	3972.91	676.056	BDLF2_1	3.65012998225742	1.49559689563469e-05
ENST00000674194	678.06	483.848	380.565	0.0	63.5852	0.0	MS4A1	-2.54842566351974	8.39356768789073e-05
BRRF1_1	0.0	0.0	0.0	2483.88	1006.84	1318.12	BRRF1_1	3.10428246192862	0.0001221146730832
BcRF1_1	0.0	0.0	0.0	409.534	267.279	546.303	BcRF1_1	3.13496129220835	0.0001262424584984
ENST00000423777	556.765	555.748	533.217	0.0	162.197	0.0	ATF5	-2.22410402441401	0.0008567752434575
ENST00000315377	2221.04	2373.07	2268.53	100.93	187.176	381.549	RPS6	-2.03575444339645	0.0011849534048701
DQ516754	1888.03	4471.66	2892.52	10761.6	5751.36	6521.55	DQ516754	0.958285980053042	0.0019237990332453
ENST00000388968	1036.38	911.691	628.708	0.00699784	7.71468e-07	0.0	HSPD1	-3.34413001421408	0.0022142052648846
BLLF3_1	0.0	0.0	0.0	1395.84	1721.3	1899.54	BLLF3_1	2.96863482271559	0.0037574313952983
ENST00000573283	1106.55	1505.83	1122.13	0.0	0.170574	541.285	ACTG1	-2.60892340540995	0.0125841316228874
ENST00000690316	225.839	195.73	239.838	0.0	0.0	63.5156	DDX21	-2.21844439834707	0.0162736530855084
ENST00000403230	225.521	121.892	226.131	44.1474	0.0	78.1957	DDX17	-1.55023947232378	0.0276101716715747
ENST00000387347	3724.13	3515.55	2299.03	5095.86	5520.6	4788.53	MT-RNR2	0.526748485059767	0.0292148471868098
ENST00000316448	723.727	471.727	882.094	0.0	0.0	0.0	CALR	-2.94900551629016	0.0299351994046958
ENST00000361381	766.698	1204.24	1836.38	2081.15	2503.54	1968.2	MT-ND4	0.612652530774373	0.036272569332368
ENST00000441154	136.125	433.75	282.713	0.0	0.0	0.0	EIF4G1	-2.88708989527657	0.0363354981077017
ENST00000323076	708.091	381.418	409.186	311.817	0.0	0.0	LCP1	-2.34838807583563	0.0379163138619525
ENST00000372004	79.3483	165.723	150.304	0.0	0.0	0.0	NCOA3	-2.81405909159027	0.0395780547041024
ENST00000369496	295.832	244.772	346.168	119.413	43.2268	95.4205	ATP1A1	-1.12538547869609	0.0411869379873106
ENST00000454824	1099.24	743.299	699.945	0.0	544.011	0.0206982	NCL	-2.30951189172224	0.0411869379873106
ENST00000398637	73.0785	93.7496	80.1587	0.0	18.3926	18.1135	SLC38A1	-1.61600602441513	0.041595422102843
BGLF3_1	0.0	0.0	0.0	267.969	358.281	430.744	BGLF3_1	2.80306838658646	0.0420956889133722
ENST00000300403	237.122	423.307	227.022	82.0357	133.628	43.8436	TPX2	-1.09675365127465	0.0601516183832872
ENST00000361337	407.543	241.024	270.119	0.0	247.401	0.0	TOP1	-1.96696520581113	0.0692928539680847
ENST00000409115	1564.36	1514.22	2034.4	472.271	0.0	848.298	PTMA	-1.70492986344089	0.0777251516956327
ENST00000361624	4610.82	4775.7	5699.52	8299.19	8222.99	8298.89	MT-CO1	0.532243088539772	0.0864364831275758
ENST00000389680	608.686	739.142	626.489	1097.81	1185.34	1744.73	MT-RNR1	0.676995289567487	0.0911819582328507
ENST00000361739	6801.52	5955.31	4434.49	9009.67	8442.72	6416.14	MT-CO2	0.380767177304169	0.0911819582328507
ENST00000344034	415.894	267.318	318.96	67.131	145.646	71.6391	PPM1G	-1.06427943945912	0.0943990244391638
ENST00000360079	522.875	603.297	389.464	210.741	228.58	0.0	XRCC6	-1.40833048770322	0.105742051114014
ENST00000254801	608.68	582.95	715.994	0.0	271.975	367.919	JCHAIN	-1.19867439294034	0.109397162186589
ENST00000565644	175.281	196.49	279.677	141.535	76.8661	0.0	SLC7A5	-1.29024038538146	0.113489461454426
ENST00000370990	592.882	565.201	400.745	219.261	310.363	0.0	SERBP1	-1.22484505806372	0.117524341404398
ENST00000259939	114.354	131.779	109.47	27.7119	0.0	29.6456	RNF144B	-1.53213641355824	0.121265086816851
ENST00000579374	0.693906	0.0	2763.89	1434.39	3086.96	2413.25	RPL19	1.88037523184212	0.121265086816851
ENST00000353334	2439.31	2064.25	3143.08	1052.5	256.172	1763.31	CD74	-1.06029652886053	0.145684623959114
ENST00000370995	202.514	169.773	192.901	0.0	0.0	60.1741	SERBP1	-1.90164431170827	0.168884554304269
ENST00000327892	721.4	833.191	1151.3	523.671	568.276	621.276	TUBB	-0.396139684776142	0.196513591914614
ENST00000334828	349.719	337.25	512.435	338.046	0.0	180.179	PGAM1	-1.05789634656734	0.208263718119708
ENST00000234590	641.021	1230.67	1154.32	496.038	336.701	755.915	ENO1	-0.590345352921614	0.234785054784446
ENST00000361436	1365.67	746.904	1050.25	1957.38	2103.14	2735.54	RPL12	0.761457953330929	0.234785054784446
DQ516752	1128.93	1856.62	2161.95	3128.27	3821.6	2321.55	DQ516752	0.614533229368125	0.239042470222427
ENST00000367478	100.31	55.993	55.8648	18.6058	40.4764	20.6571	TPR	-0.834161847936641	0.25551446503366
ENST00000361789	1329.28	936.522	1273.9	1746.84	2046.38	1391.33	MT-CYB	0.40017245185151	0.258481003441429
ENST00000336023	415.774	737.199	817.481	504.471	365.821	0.0	TUBA1B	-1.12696111567288	0.25855512772403
ENST00000439602	1845.88	2040.66	3991.47	3293.83	5291.84	2571.41	RPS18	0.402860190864247	0.31066826920916
ENST00000525634	2227.32	2196.92	1777.24	1766.0	1417.92	0.0	RPS13	-0.914716122178782	0.31066826920916
ENST00000362079	3981.87	6603.8	3819.33	6202.87	5400.79	5541.98	MT-CO3	0.248620117745443	0.31066826920916
ENST00000361567	973.014	670.202	599.105	755.807	1547.62	895.242	MT-ND5	0.345487959028563	0.31066826920916
DQ459430	1060.11	1413.56	1651.13	1914.23	1551.61	2200.37	DQ459430	0.347734741731486	0.31066826920916
ENST00000371646	1937.86	1364.63	1176.72	857.794	1489.44	854.9	HSP90AB1	-0.312897805383991	0.316676550023461
ENST00000436427	1275.02	1231.38	599.888	411.195	428.023	694.473	YBX1	-0.605852025706465	0.3397456435014
ENST00000361899	1956.28	2078.63	1644.72	2252.63	3147.32	2460.04	MT-ATP6	0.353875950263337	0.345558519791682
ENST00000323345	1845.28	1795.13	2573.58	1410.62	869.693	853.073	RPL7A	-0.612867127482496	0.355560240527139
ENST00000680032	169.608	331.516	578.612	332.139	0.0	212.676	HSPA5	-0.915603337955546	0.370132321585345
ENST00000202773	2071.35	443.23	1676.35	382.258	1654.94	0.0	RPL6	-1.08154118619329	0.375658741121208
ENST00000561775	1305.81	819.962	708.486	910.723	719.222	50.9762	RPL4	-0.792451885336794	0.382294469782441
ENST00000217026	360.575	303.581	345.21	109.006	295.971	291.241	MYBL2	-0.385476464361636	0.406688075006197
ENST00000216181	95.5075	149.564	91.829	40.2839	46.5474	67.6612	MYH9	-0.67354525596151	0.406688075006197
